,Charged +,Hydrophilic,Charged -,Hydrophobic
Mean,5.595636267575529,3.700825056413767,5.450391819702618,5.39572616419347
Standard Deviation,1.765469658190851,1.752628349847743,2.070181064820348,2.1027888230056426
