,Hydrophilic,Charged -,Hydrophobic,Charged +
Mean,4.9438452031452345,4.569276783226385,6.441463150252953,4.638646544906737
Standard Deviation,2.970194949216849,1.6727393103394024,4.0977141462567355,1.4019084105433273
