,Hydrophobic,Hydrophilic,Charged -,Charged +
Mean,4.950098779538317,5.71243011509317,4.922858799185742,5.409632802677568
Standard Deviation,2.541544861893425,3.372528559630038,1.448253541207841,1.580401318511879
