,"Hydrophilic, Hydrophobic","Charged -, Hydrophilic","Charged -, Hydrophobic","Charged +, Hydrophobic","Charged +, Charged -","Charged +, Hydrophilic"
Mean,5.63606964731973,4.0699899516139055,4.162855480885645,5.017990036227028,3.5536895297501356,6.749130378694564
Standard Deviation,0.7184501384298123,1.5468418000195645,1.6111762164252394,0.0,0.0,0.0
