,"Charged +, Charged -","Charged +, Hydrophilic","Charged +, Hydrophobic","Charged -, Hydrophilic","Charged -, Hydrophobic","Hydrophilic, Hydrophobic"
Mean,10.543732061139524,15.60736557009988,18.00204023967546,16.05045981658515,19.34287954221786,26.948515281529062
Standard Deviation,2.33007212282577,8.81444328818904,10.496082634891378,7.208028307149819,12.480022103800673,14.713774520184876
