,Charged +,Hydrophilic,Charged -,Hydrophobic
Mean,47.35641334266002,48.96484259155252,47.47317667931265,48.056031915398734
Standard Deviation,21.488381355507705,23.162265248580763,22.082585108122277,22.033446543653504
