,Charged -,Charged +,Hydrophilic,Hydrophobic
Mean,3.7577242324611912,4.71924134086722,5.460212281816604,6.634977689612902
Standard Deviation,1.1526173214654405,1.918443380253132,2.4158384031408464,3.6466399099344566
