,Hydrophilic,Charged -,Hydrophobic,Charged +
Mean,3.7029074171360237,1.5821089890154558,1.8313294213230835,1.2735685230683815
Standard Deviation,0.6950253102330013,0.20662286127713322,0.23619675861964967,0.0020771353640441914
