,Hydrophilic,Hydrophobic,Charged -,Charged +
Mean,3.530994707206487,2.6516455076395506,1.94437273357022,2.0319932336251956
Standard Deviation,1.535861047442144,0.9660294221122109,0.9098451514173528,0.4732990943629045
