,"Hydrophilic, Hydrophobic","Charged -, Hydrophilic","Charged +, Hydrophilic","Charged -, Hydrophobic","Charged +, Charged -","Charged +, Hydrophobic"
Mean,18.981972951491553,16.375400924781246,15.551290608267347,15.768980187736284,10.612326987765503,14.801117843869786
Standard Deviation,9.832121439674262,8.334942984473148,9.591094396911817,7.261385087931901,2.952133807412588,5.795248906270595
