,Charged +,Charged -,Hydrophobic,Hydrophilic
Mean,42.38676416935726,41.10933486338385,40.524262597610054,43.89255668542457
Standard Deviation,14.179925992744645,14.602231525594297,13.947641236197313,15.749561644690251
