,Hydrophobic,Charged +,Charged -,Hydrophilic
Mean,7.7852696911043315,10.556182968095266,11.538101391670333,8.182196188235132
Standard Deviation,2.265015892833209,2.0011670404350497,0.0,2.6354424174754256
