,Charged -,Hydrophobic,Charged +,Hydrophilic
Mean,42.770017431862556,49.60424539455617,46.17413799573491,46.136535114449806
Standard Deviation,18.44213362182097,18.014654449473667,16.943231182847075,16.14919008647565
