,Charged -,Hydrophobic,Charged +,Hydrophilic
Mean,43.28862810364865,39.5941174908513,45.57922604532915,39.949600728490566
Standard Deviation,15.858115216105027,14.605411249144945,17.538146603598864,16.466901228716328
