,Hydrophilic,Charged -,Hydrophobic,Charged +
Mean,53.83776218227939,52.65922129637679,53.718183221935625,52.89933686195576
Standard Deviation,20.0941028585318,18.848515685435178,19.35127356503148,19.416607584086332
