,"Charged +, Hydrophobic","Charged +, Charged -","Charged +, Hydrophilic","Charged -, Hydrophilic","Charged -, Hydrophobic","Hydrophilic, Hydrophobic"
Mean,12.042731954695519,12.69954724195978,15.769753843481865,16.654815191484936,12.251076433732543,14.632903329402742
Standard Deviation,3.348539955335665,3.64976197863432,6.66733651849678,8.127841159161306,3.8390735603207595,7.768808153609298
