,"Charged -, Hydrophilic","Charged +, Charged -","Charged -, Hydrophobic","Charged +, Hydrophobic","Hydrophilic, Hydrophobic","Charged +, Hydrophilic"
Mean,15.333090082372934,11.266318880687534,19.01745570787253,19.5483754980571,18.012407740362246,14.518235525800705
Standard Deviation,7.917874182910009,2.59779293032002,12.238889431317647,10.928280988153427,9.695602824869944,7.220693980200054
