,Hydrophilic,Hydrophobic,Charged -,Charged +
Mean,3.2958040044513224,2.271438831986002,1.5245849201161445,2.2367611902552107
Standard Deviation,0.4783579891766634,0.6230483791827219,0.30622548603696065,0.0
