,Charged -,Hydrophobic,Charged +,Hydrophilic
Mean,4.11055127950902,6.906222842371149,5.032279409136109,5.078402378831684
Standard Deviation,1.8772004548451013,3.6848946190676517,1.9673097179034928,2.852439236830352
