,"Hydrophilic, Hydrophobic","Charged -, Hydrophilic","Charged -, Hydrophobic","Charged +, Hydrophilic","Charged +, Hydrophobic","Charged +, Charged -"
Mean,5.545857036579169,5.634955551332446,6.119230376936147,6.541161129137498,4.433620900500404,4.427130879438786
Standard Deviation,1.8483220714137993,2.1990144650800363,2.8846149528862264,2.2683639336356434,2.656135078726199,1.099518432834736
