,"Charged +, Hydrophobic","Hydrophilic, Hydrophobic","Charged -, Hydrophobic","Charged +, Hydrophilic","Charged +, Charged -","Charged -, Hydrophilic"
Mean,12.168813224639647,21.36890063396823,12.001952491345442,19.72469655479607,10.97323674379425,19.589902996638237
Standard Deviation,3.761720664701626,10.52303057730825,3.8997424803046066,10.219446926445569,2.5109529402877317,9.500389618964569
