,"Charged -, Hydrophilic","Hydrophilic, Hydrophobic","Charged +, Hydrophilic","Charged -, Hydrophobic"
Mean,5.34385299378288,4.296125337188423,2.3340971696038633,3.7436262552970714
Standard Deviation,1.457465004654103,0.9683652234876664,0.06144259004681074,0.783017106869978
